id,name,price,stand_numbers,image_url,included_items,retail_value,distributor,price_numeric,retail_value_numeric
28215205-5c14-4c5d-a3a3-97efe5be326f,Jumbo Gummy,$25,Stand Numbers: 11,"https://www.eastershow.com.au/contentassets/7c9496cee3df46dbb8a708b27ace84c0/jumbo-gummy//ShowBagImage-11448696-300-300-75-0,0","['1x Yupi Mega Pizza 90g $5.95', '1x Karate Roller Rainbow $0.60', '1x Karate Roller Strawberry $0.60', '8x Yupi Cola Bottles 10g $0.40', '8x Yupi Neon Stix 10g $0.40', '8x Yupi Baby Bears 10g $0.40', '1x Whoopie Cushion $4.95', '1x 250g Strawberry Heart Marshmallows $5.95', '1x Squishy Head Novelty $3.00', '1x Big Yupi Burger $1.00', '1x Big Yupi Frank $1.00', '1x Giant Yupi Cola Bottle $1.20', '1x XXL  Sour  Candy Spray $2.20', ""1x 140g Haribo Sour S'Ghetti $5.95"", '1x TNT Ka Bluey Bubble Gum Bar $0.30', '1x TNT Tutti Fruitti Bubble Gum Bar $0.30', '1x Yupi Pizza 14g $0.80', '1x Cosmic Goop Slime $2.20']",Total Retail Value: $45.60,"SHOWBAGS AUSTRALIA PTY LDThe content of this bag is subject to availability and may change without notice. The Royal Agricultural Society of NSW accepts no liability, to a maximum extent permissible by law, arising from any fault or defect in any showbag content.",25.0,45.6
046ddd50-a1c2-4be3-bfed-22bdfa7baf15,Lollypops,$5,Stand Numbers: 11,"https://www.eastershow.com.au/contentassets/6015acd9923d4d9f8b58d2b59c04d571/lollypops//ShowBagImage-11448700-300-300-75-0,0","['2x Chupa Chup Lollypops Assorted Flavours $0.60', '30x Fruity Lollipops $0.20', '1x 55g Rainbow Swirl Pop $2.00', '1x Frizbee $1.00']",Total Retail Value: $10.20,"SHOWBAGS AUSTRALIA PTY LDThe content of this bag is subject to availability and may change without notice. The Royal Agricultural Society of NSW accepts no liability, to a maximum extent permissible by law, arising from any fault or defect in any showbag content.",5.0,10.2
8bcf51f3-2914-4ad8-bcca-f4ddbc52a153,Paw Patrol Skye Showbag,$32,"Stand Numbers: 003, 004, 010, 012, 013, 016, 017, 018, 020","https://www.eastershow.com.au/contentassets/963091ca20de4a3fa5f1143a87223a85/paw-patrol-skye-19//ShowBagImage-32468664-300-300-75-0,0","['1x Backpack $24.95', '1x Bow $4.95', '1x Bracelets $4.95', '1x Bucket Hat $9.95', '1x Coin Purse $4.95', '1x Cooler Bag $9.95', '1x Scratch Art Notebook $7.95', '1x Stick on Earrings $7.95', '1x Reusable Tote Bag $4.95']",Total Retail Value: $80.55,"BENSONS TRADING CO PTY LTDThe content of this bag is subject to availability and may change without notice. The Royal Agricultural Society of NSW accepts no liability, to a maximum extent permissible by law, arising from any fault or defect in any showbag content.",32.0,80.55
68847c03-2215-49a6-b7cb-bf83183e48a0,Cadbury Caramilk Mega Bag,$25,"Stand Numbers: 003, 004, 010, 012, 013, 016, 017, 018, 020","https://www.eastershow.com.au/contentassets/9fa116dd659b40cebab4ee8fe8d7e222/cadbury-caramilk-superbag-$20//ShowBagImage-32203773-300-300-75-0,0","['1x 180g Cadbury Caramilk Bar $7.00', '1x 180g Cadbury Caramilk Breakway $7.00', '1x 120g Crunchie Caramilk Bites $6.00', '1x 45g Cadbury Caramilk Bar $2.50', '6x 12g Bite Size Dairy Milk $0.58', '2x 12g Caramilk Wallaby $0.70']",Total Retail Value: $27.38,"BENSONS TRADING CO PTY LTDThe content of this bag is subject to availability and may change without notice. The Royal Agricultural Society of NSW accepts no liability, to a maximum extent permissible by law, arising from any fault or defect in any showbag content.",25.0,27.38
ebcc724d-07be-4418-8a68-53710bab0f0b,AFL North Melbourne Kangaroos 2025 Showbag,$36,Stand Numbers: 7,"https://www.eastershow.com.au/contentassets/84ad791595de4a2bb71bef0791a03f42/afl-north-melbourne-kangaroos-2025-showbag//ShowBagImage-33000752-300-300-75-0,0","['1x North Melbourne Kangaroos Laminated Bag $8.00', '1x North Melbourne Kangaroos Soft Touch Football $25.00', '1x North Melbourne Kangaroos Trucker Cap $15.00', '1x North Melbourne Kangaroos Lenticular Tumbler $10.00', '1x North Melbourne Kangaroos Badge Card $5.00', '1x North Melbourne Kangaroos Playing Card $5.00', '1x North Melbourne Kangaroos Mini Flag $2.50', '1x North Melbourne Kangaroos Bottle $12.00', '1x North Melbourne Kangaroos Bumper Sticker $5.00', '1x North Melbourne Kangaroos Tattoo Sheet $5.00', '*Please note: Contents may vary check at time of purchase.']",Total Retail Value: $92.50,"NATIONAL SHOWBAGS PTY LTDThe content of this bag is subject to availability and may change without notice. The Royal Agricultural Society of NSW accepts no liability, to a maximum extent permissible by law, arising from any fault or defect in any showbag content.",36.0,92.5
0531d756-322f-4b49-8f93-475f0a7d8b45,AFL West Coast Eagles 2025 Showbag,$36,Stand Numbers: 7,"https://www.eastershow.com.au/contentassets/52d996af64be48f29a5651f41e4c21e5/afl-west-coast-eagles-2025-showbag//ShowBagImage-33000708-300-300-75-0,0","['1x West Coast Eagles Laminated Bag $8.00', '1x West Coast Eagles Football $25.00', '1x  West Coast Eagles Trucker Cap $15.00', '1x  West Coast Eagles Lenticular Tumbler $10.00', '1x West Coast Eagles Badge Card $5.00', '1x West Coast Eagles Playing Card $5.00', '1x West Coast Eagles Mini Flag $2.50', '1x West Coast Eagles Bottle $12.00', '1x West Coast Eagles Bumper Sticker $5.00', '1x West Coast Eagles Tattoo Sheet $5.00', '*Please note: Contents may vary check at time of purchase']",Total Retail Value: $92.50,"NATIONAL SHOWBAGS PTY LTDThe content of this bag is subject to availability and may change without notice. The Royal Agricultural Society of NSW accepts no liability, to a maximum extent permissible by law, arising from any fault or defect in any showbag content.",36.0,92.5
58c869bd-d3fd-42fd-8516-b0d70a79e022,AFL Adelaide Crows 2025 Showbag,$36,Stand Numbers: 7,"https://www.eastershow.com.au/contentassets/b8e927d1fcd64115928e49080c1ab3d9/afl-adelaide-crows-2025-showbag//ShowBagImage-33000766-300-300-75-0,0","['1x Adelaide Crows Laminated Bag $8.00', '1x Adelaide Crows Soft Touch Football $25.00', '1x Adelaide Crows Trucker Cap $15.00', '1x Adelaide Crows Lenticular Tumbler $10.00', '1x Adelaide Crows Badge Card  $5.00', '1x Adelaide Crows Playing Card $5.00', '1x Adelaide Crows Mini Flag $2.50', '1x Adelaide Crows Bottle $12.00', '1x Adelaide Crows Bumper Sticker $5.00', '1x Adelaide Crows Tattoo Sheet $5.00', '*Please note: Contents may vary check at time of purchase.']",Total Retail Value: $92.50,"NATIONAL SHOWBAGS PTY LTDThe content of this bag is subject to availability and may change without notice. The Royal Agricultural Society of NSW accepts no liability, to a maximum extent permissible by law, arising from any fault or defect in any showbag content.",36.0,92.5
09dad743-9462-4e81-8562-1d90c3870669,Allkinds Faves Showbag,$36,Stand Numbers: 5 Emporium Showbags,"https://www.eastershow.com.au/contentassets/0fa8b06fc130469e948a85201cee5ade/allkinds-lazy-day//ShowBagImage-32565608-300-300-75-0,0","['1x allkinds Natural Canvas Tote Bag $20.00', '1x allkinds Calming Chamomile Bath Soak Mini 120ml $7.99', '1x allkinds Calming Chamomile Oatmeal Soothing Cream Face Mask 50ml $16.99', '1x allkinds Warm Sugar Whipped Shower Foam 250g $15.99', '1x allkinds Tropical Coconut Magic Sand Body Scrub 150ml $15.99', '1x allkinds Calming Chamomile Intensive Skin Rescue Balm 120ml $12.99', '1x allkinds Survey Voucher Offer – 20% off @ allkinds.com or in-store. T&Cs apply.', '*Please note: Showbag contents may change please check at point of purchase. Offers may require a minimum spend. Check out emporiumshowbags.com.au for more info.']",Total Retail Value: $89.95,"CHICANE MARKETING PTY LTDThe content of this bag is subject to availability and may change without notice. The Royal Agricultural Society of NSW accepts no liability, to a maximum extent permissible by law, arising from any fault or defect in any showbag content.",36.0,89.95
d6069a19-e48d-4129-be2d-9ebd8fd9f7da,Wednesday Showbag,$32,"Stand Numbers: 003, 004, 010, 012, 013, 016, 017, 018, 020","https://www.eastershow.com.au/contentassets/0db2e74d09274fae91ca97e1731a78b9/wednesday//ShowBagImage-31868600-300-300-75-0,0","['1x Backpack $24.95', '1x A4 Folders $4.95', '1x Badges $4.95', '1x Bracelet Set $4.95', '1x Diary $9.95', '1x Hair Bow $4.95', '1x Headband $4.95', '1x Phone Charm $9.95', '1x Post It Notes $4.95', '1x Tech Decals $4.95', '1x Tie $12.95', '1x Reusable Tote Bag $4.95']",Total Retail Value: $97.40,"BENSONS TRADING CO PTY LTDThe content of this bag is subject to availability and may change without notice. The Royal Agricultural Society of NSW accepts no liability, to a maximum extent permissible by law, arising from any fault or defect in any showbag content.",32.0,97.4
54af3b0c-1bb6-4323-ac7d-0945e011acb0,Mermaid Dressup Bag,$35,"Stand Numbers: 1,2,14","https://www.eastershow.com.au/contentassets/698a7360e99a4fa0b93be16124dfcdcf/mermaid-dressup-bag//ShowBagImage-26595206-300-300-75-0,0","['1x Mermaid Carry Bag $4.95', '1x Mermaid Dressup - Skirt and Top $15.95', '1x Mermaid Wig $9.95', '3x Mermaid Lip Gloss $2.95', '1x Mermaid Coin Purse $5.95', '1x Mermaid Bath Fizzer $2.95', '1x Mermaid Stickers $1.95', '1x Mermaid Necklace $3.95']",Total Retail Value: $54.50,"HUNTER LEISURE P/LThe content of this bag is subject to availability and may change without notice. The Royal Agricultural Society of NSW accepts no liability, to a maximum extent permissible by law, arising from any fault or defect in any showbag content.",35.0,54.5
